Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
MHU3_FL03	GSM4614019	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL04	GSM4614020	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL05	GSM4614021	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL06	GSM4614022	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL07	GSM4614023	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL08	GSM4614024	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL09	GSM4614025	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL10	GSM4614026	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL11	GSM4614027	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL12	GSM4614028	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue	EFO	http://purl.obolibrary.org/obo/UBERON_0001348	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL01	GSM4614029	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL02	GSM4614030	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL03	GSM4614031	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL04	GSM4614032	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL05	GSM4614033	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL06	GSM4614034	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
